date,calories,steps,dist,floors,elevation,sedant,active_light,active_fair,active_very,active_cals,sleep_start,sleep_timeInBed,sleep_minutesAsleep,sleep_awakeningsCount,sleep_minutesAwake,sleep_minutesToFallAsleep,sleep_minutesAfterWakeup,sleep_efficiency
2015-02-21,2342,7514,3.19862627134648,11,110.0,717,255,14,2,1043,22:34,511,451,29,50,0,6,90
2015-02-22,2022,3262,1.3886714084412,2,20.0,761,161,5,5,634,23:33,424,379,26,38,0,1,91
2015-02-23,2281,8537,3.63400242444512,14,140.0,805,188,24,8,932,23:31,424,416,5,5,0,0,99
2015-02-24,2067,5923,2.521368954338,8,80.0,785,190,0,0,720,23:40,449,408,21,32,9,0,93
2015-02-25,1994,5470,2.32851397747696,6,60.0,822,169,0,0,623,23:24,438,402,13,32,0,0,93
2015-02-26,2057,5718,2.4340352333024,11,110.0,839,177,0,0,689,23:13,454,427,11,14,0,0,97
2015-02-27,2083,5507,2.34399233386968,12,120.0,852,174,0,0,686,23:43,431,413,9,16,2,0,96
2015-02-28,1964,3570,1.51979937108896,2,20.0,801,181,0,0,619,00:44,458,435,13,21,0,0,95
2015-03-01,2472,10487,4.46406734499024,3,30.0,708,228,30,35,1223,00:58,439,419,13,18,0,0,96
2015-03-02,2612,11446,4.87186704458792,8,80.0,770,310,20,10,1336,01:00,330,281,8,16,33,0,95
2015-03-03,2325,9180,3.90774750308072,27,270.0,778,226,14,9,1020,00:47,413,388,12,14,11,0,97
2015-03-04,2102,6851,2.91636840738048,15,150.0,798,209,0,0,776,00:02,433,408,13,20,3,2,95
2015-03-05,2319,6925,2.94783464454336,17,170.0,762,226,9,3,981,00:24,400,370,5,14,0,0,96
2015-03-06,2252,6463,2.75123279939456,16,160.0,783,205,16,7,926,23:20,457,427,15,30,0,0,93
2015-03-07,2389,8713,3.70898328618376,17,170.0,695,235,26,7,1080,23:48,489,446,18,27,15,1,94
2015-03-08,2308,6616,2.81635250031616,13,130.0,673,189,33,11,961,00:08,491,446,20,42,0,0,91
2015-03-09,2049,5427,2.31021459587256,14,140.0,752,184,0,0,689,23:17,527,475,21,34,0,0,93
2015-03-10,2243,7324,3.1176367501812,35,350.0,760,173,2,19,816,23:40,494,444,15,37,0,0,92
2015-03-11,1970,4273,1.81893367662968,16,160.0,694,147,0,0,577,23:48,485,440,16,35,0,0,93
2015-03-12,1932,2227,0.94804466877016,3,30.0,778,126,12,3,524,23:05,543,502,18,36,0,1,93
